	STAS	SWHAS104	22_MC_Drinkingwater_source_90-100	23_MC_Drinkingwater_tap_90-100	49_Drinkingwater_influent_winter_90-100	50_Drinkingwater_effluent_winter_90-100	51_Drinkingwater_influent_summer_90-100	52_Drinkingwater_influent_summer_90-100	53_Drinkingwater_effluent_summer_90-100	30_ST_effluent_summer_90-100	31_ST_effluent_winter_90-100	32_ST_influent_summer_90-100	33_ST_influent_winter_90-100	13_ST_ADS_90-100	14_SWT_ADS_90-100	1_ST_AS_0707_90-100	2_ST_AS_0801_90-100	37_ST_AS_foaming_90-100	38_ST_AS_foaming_control_90-100	4_ST_AS_0901_90-100	54_Stanley_AS_90-100	55_Stanley_AS_90-100	56_ST_ADS_March_90-100	57_SWH_ADS_March_90-100	58_SWH_ADS_March_90-100	5_ST_AS_0907_90-100	6_ST_AS_1001_90-100	7_ST_AS_1007_90-100	8_ST_AS_1101_90-100	24_Sediment_fishpond_LWT_90-100	25_Sediment_fishpond_ST_90-100	26_Sediment_fishpond_YTT_90-100	ARG_72_90-100	ARG_73_90-10	ARG_74_90-100	ARG_75_90-100	ARG_76_90-100	ARG_77_90-100	ARG_78_90-100	ARG_79_90-100	ARG_80_90-100	ARG_81_90-100	ARG_82_90-100	ARG_83_90-100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
beta-lactam__MOX-5	0	0	0.000907391	0	0	0	0	0	0	0	0.000135125	0.000117093	0.000527146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__MOX-6	0	0	0.000453695	0	0	0	0	0	0	0	0	0.000117093	0.000383379	0	0.000368111	0	0	0	0	0	0	0	0	0	0	0	0.00010323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__MOX-7	0	0	0	0	0.000322042	0	0.000153681	0	0	0	0	0.00017564	0.000383379	0	0.000368111	0	0	0	0	0	0	0	0	0	0	0	0.00010323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__MUS-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59E-05	0	7.31E-05	0	0.008264831	0.007422081	0	0	0
beta-lactam__NDM-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NDM-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NDM-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NDM-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NDM-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NDM-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NDM-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NMC-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__NPS-1	0	0.0307692307692308	0	0	0	0	0	0	0	0.00275193	0.000995246	0.004570914	0.003670854	0.002447591	0	0.001325603	0	0.003757914	0.002060009	0.000439	0	0	0.000610338	0	0.000160256	0.002745353	0.001520664	0.003172096	0.010460611	0	0	0	0	0	0	0	0	0	0.000690961	0.002863302	0	0	0	0	0	0	0
beta-lactam__OCH-2	0	0	0	0	0	0	0	0	0	0	0	5.75E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000213675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OCH-4	0	0	0	0	0	0	0	0	0	0	0	5.75E-05	4.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OCH-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OCH-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OKP-A	0	0	0	0	0	0	0	0	0	0	0.000361908	0.001332856	0.000835427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OKP-B	0	0	0	0	0	0	0	0	0	0	0	0.002430503	0.001026812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-1	0	0	0	0	0	0	0	0	0	0	0	0.001288479	0.000624486	0	0	0	0	0	0	0.0002757	0	0.000374916	0	0	0.000150966	0	0	0	0	0	0	0	0.00220732	0.000612127	0.001677869	0	0	0	0.008629882	0.011563201	3.26E-05	6.29E-05	0.002557671	0.002678176	0	0	0
beta-lactam__OXA-10	0	0	0	0	0	0	0	0	0	9.61E-05	0.00330751	0.000758685	0.000759011	0.000598096	0.002120098	0.0001851	0	0	0.000251693	0.001001228	0.000304494	0	0.000198857	0.001163205	0.001096491	0.000335428	0.000445909	0.000547155	0.000176287	0	0	0	0	0	0	0	0	0	0.000715104	0.000339238	3.38E-05	3.03E-05	0.001448226	0.001098245	0	0	0
beta-lactam__OXA-101	0	0	0	0	0	0	0	0	0	9.61E-05	0	0	0.000138002	0	0.000530024	0	0	0	0	0	0	0	0	0.000145401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48E-05	0	0	0	0	0	0	0
beta-lactam__OXA-104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-11	0	0	0	0	0	0	0	0	0	0	0.000583678	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000156642	0.000167714	0	0	0	0	0	0	0	0	0	0	0	0	0.000119184	0	0	0	8.05E-05	6.86E-05	0	0	0
beta-lactam__OXA-110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-117	0	0	0	0	0	0	0	0	0	0	0	8.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-118	0	0	0	0	0	0	0	0	0	0.000192133	0	0.000252895	6.90E-05	0.000598096	0.000530024	0.0001851	0	0	0	0	0	0	0	0	0	0.000167714	0.000148636	0	0	0	0	0	0	0	0	0	0	0	3.97E-05	0.000169619	0	0	0	0	0	0	0
beta-lactam__OXA-119	0	0	0	0	0	0	0	0	0	9.61E-05	0	0.000252895	6.90E-05	0	0	0.000740401	0.000164355	0	0	0.000143033	0	0	0	0	0	0.000167714	0	0	0	0	0	0	0	0	0	0	0	0	3.97E-05	8.48E-05	0	0	0	0	0	0	0
beta-lactam__OXA-12	0	0	0.019746059	0	0.005606452	0	0.00178363	0	0	0	0	0.000764432	0.000417142	0	0	0	0	0	0.0002536	0	0.000613602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0
beta-lactam__OXA-120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-129	0	0	0	0	0	0	0	0	0	0.000191413	0	0.000671861	0.00027497	0	0	0	0	0	0.0005015	0	0	0.00035947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158317	0.000337968	0	0	0	0	0	0	0
beta-lactam__OXA-13	0	0	0	0	0	0	0	0	0	0.000192133	0.000972797	0.000252895	0.000207003	0	0.001060049	0	0	0	0.000251693	0.000143033	0.000304494	0.000360822	0	0.000872404	0.000156642	0.000503143	0.000148636	0.00036477	0	0	0	0	0	0	0	0	0	0	0.00019864	0.000254429	3.38E-05	0	0.000241371	0.000137281	0	0	0
beta-lactam__OXA-130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155648	6.64E-05	0	0	0
beta-lactam__OXA-141	0	0	0	0	0	0	0	0	0	0	0	8.15E-05	0	0	0	0	0	0	0	0	0	0.000349013	0	0	0	0	0	0	0	0	0	0	0.000125139	0.000131942	7.65E-05	0.000227904	0.00041611	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-142	0	0	0	0	0	0	0	0	0	9.61E-05	0.00311295	0.000758685	0.000966014	0.000598096	0.001590073	0	0	0.000229572	0.000251693	0.00057213	0.001217977	0.000360822	0.000198857	0.000872404	0.000313283	0.001174	0.000148636	0.00072954	0.000528862	0	0	0	0.000129373	0	7.91E-05	0	0	0	0.000953471	0.000254429	3.38E-05	0	0.001287312	0.001029604	0	0	0
beta-lactam__OXA-144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-145	0	0	0	0	0	0	0	0	0	0	0.000390587	0.000169233	0.000207784	0	0	0	0	0	0.000505285	0	0	0	0	0	0	0	0.000149197	0	0	0	0	0	0	0	0	0	0	0	0	8.51E-05	0	0	0	6.89E-05	0	0	0
beta-lactam__OXA-146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-147	0	0	0	0	0	0	0	0	0	0	0.001945594	0.000337193	0.000414006	0.000598096	0.001060049	0.0001851	0	0	0	0.000286065	0.000608989	0	0	0.001744808	0.000626566	0.000335428	0.000297273	0.000182385	0	0	0	0	0	0	0	0	0	0	0.00019864	0.000254429	6.76E-05	0	0.000522971	0.000686403	0	0	0
beta-lactam__OXA-148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-15	0	0	0	0	0	0	0	0	0	9.29E-05	0	8.15E-05	0.000133486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000131942	0	0.000113952	6.94E-05	0	0.000115283	0.000164068	0	0	3.89E-05	0	0	0	0
beta-lactam__OXA-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-164	0	0	0	0	0	0	0	0	0	0	0	0.000160167	0.000458857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184356	0.000129585	0.000300496	0	0	0	0.001471922	8.06E-05	0	2.88E-05	0.00064969	0.000326041	0	0	0
beta-lactam__OXA-165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-17	0	0	0	0	0	0	0	0	0	0	0.00330751	0.000758685	0.00069001	0	0.000530024	0	0.000493066	0	0.000251693	0.000286065	0	0	0.000397714	0.000872404	0.000783208	0.000838571	0	0	0.000176287	0	0	0	0	0	0	0	0	0	0.000317824	0.000339238	0	0	0.001045941	0.000960964	0	0	0
beta-lactam__OXA-170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-18	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-181	0	0	0	0	0.000232721	0	0	0	0	9.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-183	0	0	0	0	0	0	0	0	0	9.61E-05	0.000778238	0.000758685	0.000345005	0	0.000530024	0	0	0	0	0.000143033	0.000304494	0	0.000198857	0.000872404	0.000156642	0	0.000297273	0	0.000176287	0	0	0	6.47E-05	0	7.91E-05	0	0	0	0.00039728	0.000339238	0	0	0.000643656	0.000549122	0	0	0
beta-lactam__OXA-184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26E-05	0	0	0	0	0	0
beta-lactam__OXA-19	0	0	0	0	0	0	0	0	0	0	0.000194559	8.43E-05	0.000276004	0	0.001060049	0	0	0	0	0.000286065	0	0.000721643	0	0.000145401	0.000313283	0.000167714	0.000148636	0	0	0	0	0	0	0	0	0	0	0	7.95E-05	0.000339238	0	0	0.000241371	6.86E-05	0	0	0
beta-lactam__OXA-192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-196	0	0	0	0	0	0	0	0	0	0	0	8.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-2	0	0	0	0	0	0	0	0	0	0	0	0	0.000200228	0	0	0	0	0.000222059	0	0	0	0	0.000192349	0	0	0	0	0	0	0	0	0	0.000125139	0.000131942	7.65E-05	0.000170928	6.94E-05	0.000255046	7.69E-05	8.20E-05	0	0	0	0	0	0	0
beta-lactam__OXA-20	0	0	0	0	0	0	0	0	0	9.61E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48E-05	0	0	0	0	0	0	0
beta-lactam__OXA-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-205	0	0	0	0	0	0	0	0	0	9.61E-05	0	0.001433071	0.000621009	0.000598096	0.000530024	0.0001851	0.000164355	0	0.000503386	0.000286065	0	0	0	0	0.000156642	0	0	0.000547155	0	0	0	0	0	0	0	0	0	0	0.000238368	0.000254429	0	0	0	0	0	0	0
beta-lactam__OXA-206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000233472	0.000132788	0	0	0
beta-lactam__OXA-208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-209	0	0	0	0	0.000450153	0	0	0	0	0	0	0.000491022	0.000870823	0	0.001029099	0	0	0.000445738	0	0	0	0	0	0.000141155	0.000152068	0.000162817	0	0	0	0	0	0	0.002637504	0.001589078	0.006064748	0.000171552	0.000417629	0.000447959	0.005476661	0.002470002	0.000197002	0.000176407	0.004569312	0.003731627	0	0	0
beta-lactam__OXA-21	0	0	0	0	0.000448516	0	0	0	0	0.000185845	0	0.000163079	0.000266971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170518	0	0	0	0.000125139	0.000131942	0.000305959	0	0.000138703	0	0.002459378	0.002378986	0	0	0.000272384	0.000132788	0	0	0
beta-lactam__OXA-210	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65E-05	5.70E-05	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-211	0	0	0	0	0	0	0	0	0	0	0	8.18E-05	0.000401918	0	0	0	0	0	0	0	0	0	0	0.000141155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28E-05	0	0	0	0	0	0
beta-lactam__OXA-212	0	0	0	0	0.000225077	0	0	0	0	0	0	8.18E-05	0.000468905	0	0	0	0	0	0.000244344	0	0	0	0	0.000141155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__OXA-215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
